Customer_ID,Customer_Name,Highest_Single_Order
CG-12520,"Claire Gute",731.94
DV-13045,"Darrin Van Huff",721.88
SO-20335,"Sean O'Donnell",957.58
BH-11710,"Brosina Hoffman",1706.18
AA-10480,"Andrew Allen",479.97
IM-15070,"Irene Maddox",1819.86
HP-14815,"Harold Pawlan",1242.90
PK-19075,"Pete Kriz",4305.55
AG-10270,"Alejandro Grove",1336.44
ZD-21925,"Zuschuss Donatelli",823.96
KB-16585,"Ken Black",1013.83
SF-20065,"Sandra Flanagan",254.90
EB-13870,"Emily Burns",1044.63
EH-13945,"Eric Hoffmann",100.70
TB-21520,"Tracy Blumstein",3083.43
MA-17560,"Matt Abelman",799.98
GH-14485,"Gene Hale",1097.54
SN-20710,"Steve Nguyen",532.40
LC-16930,"Linda Cazamias",2396.40
RA-19885,"Ruben Ausman",1215.92
ES-14080,"Erin Smith",1319.80
ON-18715,"Odella Nelson",630.02
PO-18865,"Patrick O'Donnell",604.75
LH-16900,"Lena Hernandez",638.82
DP-13000,"Darren Powers",368.91
JM-15265,"Janet Molinari",1029.95
TB-21055,"Ted Butterfield",319.41
KM-16720,"Kunst Miller",979.95
PS-18970,"Paul Stevenson",359.32
BS-11590,"Brendan Sweed",1113.02
KD-16270,"Karen Daniels",4899.93
HM-14980,"Henry MacAllister",503.96
JE-15745,"Joel Eaton",2453.43
KB-16600,"Ken Brennan",629.95
SC-20770,"Stewart Carmichael",718.12
DN-13690,"Duane Noonan",842.72
JC-16105,"Julie Creighton",292.27
CS-12400,"Christopher Schild",743.99
PG-18895,"Paul Gonzalez",503.96
GM-14455,"Gary Mitchum",824.95
JS-15685,"Jim Sink",389.06
KB-16315,"Karl Braun",479.98
RB-19705,"Roger Barcio",1079.85
PN-18775,"Parhena Norris",563.94
KD-16345,"Katherine Ducich",861.76
ER-13855,"Elpida Rittenbach",876.30
RB-19465,"Rick Bensley",1049.20
GZ-14470,"Gary Zandusky",971.50
LC-16870,"Lena Cacioppo",339.96
JM-15250,"Janet Martin",908.82
PA-19060,"Pete Armstrong",339.96
CV-12805,"Cynthia Voltz",856.66
CL-12565,"Clay Ludtke",2548.56
RC-19960,"Ryan Crowe",275.49
DK-13090,"Dave Kipp",959.98
GG-14650,"Greg Guthrie",435.17
SC-20725,"Steven Cartwright",1114.40
AD-10180,"Alan Dominguez",2999.95
PF-19165,"Philip Fox",1266.86
TS-21610,"Troy Staebel",1212.96
LS-16975,"Lindsay Shagiari",1049.20
DW-13585,"Dorothy Wardle",482.94
LC-16885,"Lena Creighton",3050.38
JD-15895,"Jonathan Doherty",2104.55
SH-19975,"Sally Hughsby",424.96
SG-20080,"Sandra Glassco",1295.84
HA-14920,"Helen Andreada",671.93
MG-17680,"Maureen Gastineau",1497.67
JE-16165,"Justin Ellison",1951.84
TW-21025,"Tamara Willingham",2003.92
SP-20650,"Stephanie Phelps",279.96
NK-18490,"Neil Knudson",284.08
DB-13060,"Dave Brooks",1322.93
NP-18670,"Nora Paige",2154.90
TT-21070,"Ted Trevino",2404.70
EM-13960,"Eric Murdock",572.80
RD-19900,"Ruben Dartt",862.34
MJ-17740,"Max Jones",4476.80
BM-11140,"Becky Martin",8159.95
CS-12130,"Chad Sievert",340.14
JB-15400,"Jennifer Braxton",387.99
SJ-20500,"Shirley Jackson",751.92
JK-15640,"Jim Kriz",2395.20
DK-13150,"David Kendrick",408.74
RM-19675,"Robert Marley",2879.95
SK-19990,"Sally Knutson",629.96
FM-14290,"Frank Merwin",1499.97
AM-10360,"Alice McCarthy",239.97
MP-17470,"Mark Packer",899.14
MZ-17515,"Mary Zewe",2033.58
CB-12025,"Cassandra Brandow",999.43
VM-21685,"Valerie Mitchum",1294.75
FH-14365,"Fred Hopkins",3149.93
MB-17305,"Maria Bertelson",408.01
